,Fit,A,mu,sigma,gamma,RMSE,Nb_obs,Feature,Layer_second,Bin_width,Population_used,Population
155,Skewed Gaussian,225.79815999164785,0.5028994697425638,2.721893363577113,3.197378234312117,1.478001973854807,115,Adaptation_index,5,2.07,Per_layer,Sst
156,LogNormal,48.039219516286735,0.6747033561515801,0.5001006803500516,,1.1236499784690503,23,Adaptation_index,4,2.07,Per_layer,Sst
157,LogNormal,36.86636787004686,1.4128505479568538,0.6701031930783998,,0.9624805369973158,20,Adaptation_index,2/3,2.07,Per_layer,Sst
158,LogNormal,54.61091676104649,1.5375890733539903,0.6366074044269733,,0.9358455313397585,32,Adaptation_index,6,2.07,Per_layer,Sst
159,LogNormal,361.68715254920886,1.5589281109191535,0.5149494513605862,,1.669883545876885,193,Adaptation_index,1,2.07,"Not enough value in population, take all layers",Sst
160,LogNormal,6.097380866058647,-1.429362247573602,0.8692196134414593,,0.3051310762738841,27,Gain,4,0.16,Per_layer,Vip
161,Skewed Gaussian,11.261091423242515,0.0696507838209008,0.3693827913891473,4.5072675694837985,1.770243196594086,69,Gain,2/3,0.16,Per_layer,Vip
162,Skewed Gaussian,-2.312513864684854,0.0187130575625876,-0.9244672626403664,-28.894862469540705,0.8412716500101076,15,Gain,5,0.16,Per_layer,Vip
163,Skewed Gaussian,5.455478039277892,0.1079465467576927,0.6753843981096774,4.236426482968246,1.3422731746299474,31,Gain,6,0.16,Per_layer,Vip
164,Skewed Gaussian,20.865622615231867,0.0695424543574529,0.4238806715269453,7.454420466199816,3.0757311027753005,143,Gain,1,0.16,"Not enough value in population, take all layers",Vip
165,LogNormal,4845.245128983964,4.497279557044136,0.5663823834595851,,4.159788444853301,143,Threshold,4,31.76,All_layer,Vip
166,LogNormal,4845.245128983964,4.497279557044136,0.5663823834595851,,4.159788444853301,143,Threshold,2/3,31.76,All_layer,Vip
167,LogNormal,4845.245128983964,4.497279557044136,0.5663823834595851,,4.159788444853301,143,Threshold,5,31.76,All_layer,Vip
168,LogNormal,4845.245128983964,4.497279557044136,0.5663823834595851,,4.159788444853301,143,Threshold,6,31.76,All_layer,Vip
169,LogNormal,4845.245128983964,4.497279557044136,0.5663823834595851,,4.159788444853301,143,Threshold,1,31.76,All_layer,Vip
170,Skewed Gaussian,8.172006488599317,0.216989400315189,0.0896234671922384,0.5779417919379116,2.5771133929279593,173,Input_Resistance_GOhms,4,0.04,All_layer,Vip
171,Skewed Gaussian,8.172006488599317,0.216989400315189,0.0896234671922384,0.5779417919379116,2.5771133929279593,173,Input_Resistance_GOhms,2/3,0.04,All_layer,Vip
172,Skewed Gaussian,8.172006488599317,0.216989400315189,0.0896234671922384,0.5779417919379116,2.5771133929279593,173,Input_Resistance_GOhms,5,0.04,All_layer,Vip
173,Skewed Gaussian,8.172006488599317,0.216989400315189,0.0896234671922384,0.5779417919379116,2.5771133929279593,173,Input_Resistance_GOhms,6,0.04,All_layer,Vip
174,Skewed Gaussian,8.172006488599317,0.216989400315189,0.0896234671922384,0.5779417919379116,2.5771133929279593,173,Input_Resistance_GOhms,1,0.04,All_layer,Vip
175,LogNormal,273.1129730483695,2.466551176996646,0.2615300858764171,,2.162833805486322,173,Time_constant_ms,4,1.57,All_layer,Vip
176,LogNormal,273.1129730483695,2.466551176996646,0.2615300858764171,,2.162833805486322,173,Time_constant_ms,2/3,1.57,All_layer,Vip
177,LogNormal,273.1129730483695,2.466551176996646,0.2615300858764171,,2.162833805486322,173,Time_constant_ms,5,1.57,All_layer,Vip
178,LogNormal,273.1129730483695,2.466551176996646,0.2615300858764171,,2.162833805486322,173,Time_constant_ms,6,1.57,All_layer,Vip
179,LogNormal,273.1129730483695,2.466551176996646,0.2615300858764171,,2.162833805486322,173,Time_constant_ms,1,1.57,All_layer,Vip
180,LogNormal,257.24439957270886,1.3727372939292284,0.4946753549376072,,1.4746009649154124,148,Adaptation_index,4,1.85,All_layer,Vip
181,LogNormal,257.24439957270886,1.3727372939292284,0.4946753549376072,,1.4746009649154124,148,Adaptation_index,2/3,1.85,All_layer,Vip
182,LogNormal,257.24439957270886,1.3727372939292284,0.4946753549376072,,1.4746009649154124,148,Adaptation_index,5,1.85,All_layer,Vip
183,LogNormal,257.24439957270886,1.3727372939292284,0.4946753549376072,,1.4746009649154124,148,Adaptation_index,6,1.85,All_layer,Vip
184,LogNormal,257.24439957270886,1.3727372939292284,0.4946753549376072,,1.4746009649154124,148,Adaptation_index,1,1.85,All_layer,Vip
